Device,Pressure,Temperature,Volumetric Flow,Mass Flow,Set Point,Total,Gas,Date,Time,Elaps. Mill.
A,14.80,23.63,0.16,0.17,100.00,,iButen,02/09/2023,15:12:14.241,184.4756
A,14.80,23.63,0.17,0.17,100.00,,iButen,02/09/2023,15:12:14.554,497.746
A,14.80,23.63,0.15,0.15,100.00,,iButen,02/09/2023,15:12:14.866,810.3937
A,14.80,23.63,0.18,0.18,100.00,,iButen,02/09/2023,15:12:15.179,1121.5073
A,14.80,23.63,0.18,0.18,100.00,,iButen,02/09/2023,15:12:15.491,1433.8859
A,14.80,23.63,0.15,0.15,100.00,,iButen,02/09/2023,15:12:15.804,1747.2106
A,14.80,23.63,0.14,0.14,100.00,,iButen,02/09/2023,15:12:16.116,2059.8082
A,14.80,23.63,0.16,0.16,100.00,,iButen,02/09/2023,15:12:16.429,2373.0641
A,14.80,23.63,0.19,0.19,100.00,,iButen,02/09/2023,15:12:16.742,2684.2414
A,14.80,23.63,0.17,0.17,100.00,,iButen,02/09/2023,15:12:17.054,2998.2022
A,14.80,23.63,0.14,0.14,100.00,,iButen,02/09/2023,15:12:17.367,3310.0661
A,14.80,23.63,0.16,0.16,100.00,,iButen,02/09/2023,15:12:17.679,3623.1534
A,14.80,23.63,0.15,0.15,100.00,,iButen,02/09/2023,15:12:17.992,3935.5119
A,14.80,23.63,0.15,0.15,100.00,,iButen,02/09/2023,15:12:18.304,4246.8382
A,14.80,23.63,0.17,0.18,100.00,,iButen,02/09/2023,15:12:18.617,4559.6728
A,14.80,23.63,0.19,0.19,100.00,,iButen,02/09/2023,15:12:18.929,4872.1412
A,14.80,23.63,0.17,0.18,100.00,,iButen,02/09/2023,15:12:19.242,5185.6399
A,14.80,23.63,0.14,0.14,100.00,,iButen,02/09/2023,15:12:19.554,5498.4353
A,14.80,23.63,0.17,0.17,100.00,,iButen,02/09/2023,15:12:19.867,5810.9493
A,14.80,23.63,0.21,0.21,100.00,,iButen,02/09/2023,15:12:20.179,6123.4285
A,14.80,23.63,0.13,0.13,100.00,,iButen,02/09/2023,15:12:20.492,6435.9345
A,14.80,23.63,0.13,0.13,100.00,,iButen,02/09/2023,15:12:20.804,6748.4612
A,14.80,23.63,0.20,0.20,100.00,,iButen,02/09/2023,15:12:21.117,7059.8464
A,14.80,23.63,0.20,0.20,100.00,,iButen,02/09/2023,15:12:21.430,7373.5833
A,14.80,23.63,0.20,0.20,100.00,,iButen,02/09/2023,15:12:21.742,7685.8985
A,14.80,23.63,0.16,0.16,100.00,,iButen,02/09/2023,15:12:22.055,7998.7136
A,14.80,23.63,0.18,0.18,100.00,,iButen,02/09/2023,15:12:22.367,8310.9552
A,14.80,23.63,0.15,0.15,100.00,,iButen,02/09/2023,15:12:22.680,8623.6766
A,14.80,23.63,0.22,0.22,100.00,,iButen,02/09/2023,15:12:22.992,8934.8373
A,14.80,23.63,0.22,0.22,100.00,,iButen,02/09/2023,15:12:23.305,9248.7759
A,14.80,23.63,0.18,0.18,100.00,,iButen,02/09/2023,15:12:23.617,9561.1959
A,14.80,23.63,0.18,0.18,100.00,,iButen,02/09/2023,15:12:23.930,9873.8185
A,14.80,23.63,0.17,0.18,100.00,,iButen,02/09/2023,15:12:24.242,10186.1075
A,14.80,23.63,0.14,0.14,100.00,,iButen,02/09/2023,15:12:24.555,10497.8499
A,14.80,23.63,0.16,0.17,100.00,,iButen,02/09/2023,15:12:24.867,10811.4021
A,14.80,23.63,0.16,0.17,100.00,,iButen,02/09/2023,15:12:25.180,11122.5037
A,14.80,23.63,0.21,0.21,100.00,,iButen,02/09/2023,15:12:25.493,11436.5186
A,14.80,23.63,0.25,0.25,100.00,,iButen,02/09/2023,15:12:25.805,11748.9536
A,14.80,23.63,0.11,0.12,100.00,,iButen,02/09/2023,15:12:26.118,12060.5804
A,14.80,23.63,0.19,0.19,100.00,,iButen,02/09/2023,15:12:26.430,12373.974
A,14.80,23.63,0.16,0.17,100.00,,iButen,02/09/2023,15:12:26.743,12685.175
A,14.80,23.63,0.19,0.19,100.00,,iButen,02/09/2023,15:12:27.055,12999.9981
A,14.80,23.63,0.18,0.19,100.00,,iButen,02/09/2023,15:12:27.368,13311.673
A,14.80,23.63,0.18,0.19,100.00,,iButen,02/09/2023,15:12:27.680,13622.5931
A,14.80,23.63,0.22,0.22,100.00,,iButen,02/09/2023,15:12:27.993,13936.8129
A,14.80,23.63,0.00,0.00,100.00,,iButen,02/09/2023,15:12:28.305,14249.3255
A,14.80,23.63,0.29,0.29,100.00,,iButen,02/09/2023,15:12:28.618,14560.5649
A,14.80,23.63,0.18,0.19,100.00,,iButen,02/09/2023,15:12:28.930,14874.3918
A,14.80,23.63,0.12,0.12,100.00,,iButen,02/09/2023,15:12:29.243,15186.8205
A,14.80,23.63,0.21,0.21,100.00,,iButen,02/09/2023,15:12:29.555,15499.4902
A,14.80,23.63,0.13,0.13,100.00,,iButen,02/09/2023,15:12:29.868,15811.9968
A,14.80,23.63,0.13,0.13,100.00,,iButen,02/09/2023,15:12:30.180,16122.9099
A,14.80,23.63,0.24,0.24,100.00,,iButen,02/09/2023,15:12:30.493,16437.0633
A,14.80,23.63,0.25,0.25,100.00,,iButen,02/09/2023,15:12:30.806,16749.5936
A,14.80,23.63,0.24,0.23,100.00,,iButen,02/09/2023,15:12:31.118,17060.8944
A,14.80,23.63,0.23,0.24,100.00,,iButen,02/09/2023,15:12:31.430,17373.2318
A,14.80,23.63,0.24,0.24,100.00,,iButen,02/09/2023,15:12:31.743,17687.1289
A,14.80,23.63,0.15,0.15,100.00,,iButen,02/09/2023,15:12:32.056,17999.7671
A,14.80,23.63,0.14,0.14,100.00,,iButen,02/09/2023,15:12:32.368,18312.2235
A,14.80,23.63,0.14,0.14,100.00,,iButen,02/09/2023,15:12:32.681,18623.3352
A,14.80,23.63,0.17,0.17,100.00,,iButen,02/09/2023,15:12:32.993,18937.2372
A,14.80,23.63,0.23,0.23,100.00,,iButen,02/09/2023,15:12:33.306,19249.8546
A,14.80,23.63,0.22,0.22,100.00,,iButen,02/09/2023,15:12:33.618,19561.7407
A,14.80,23.63,0.20,0.20,100.00,,iButen,02/09/2023,15:12:33.931,19874.9425
A,14.80,23.63,0.24,0.25,100.00,,iButen,02/09/2023,15:12:34.243,20187.4734
A,14.80,23.63,0.18,0.19,100.00,,iButen,02/09/2023,15:12:34.556,20500.0452
A,14.80,23.63,0.22,0.23,100.00,,iButen,02/09/2023,15:12:34.868,20812.2912
A,14.80,23.63,0.22,0.23,100.00,,iButen,02/09/2023,15:12:35.181,21123.8913
A,14.80,23.63,0.25,0.25,100.00,,iButen,02/09/2023,15:12:35.494,21437.508
A,14.80,23.63,0.18,0.19,100.00,,iButen,02/09/2023,15:12:35.806,21750.1723
A,14.80,23.63,0.18,0.18,100.00,,iButen,02/09/2023,15:12:36.119,22062.09
A,14.80,23.63,0.19,0.19,100.00,,iButen,02/09/2023,15:12:36.431,22373.9568
A,14.80,23.63,0.17,0.18,100.00,,iButen,02/09/2023,15:12:36.744,22686.2681
A,14.80,23.63,0.19,0.20,100.00,,iButen,02/09/2023,15:12:37.056,23000.2319
A,14.80,23.63,0.19,0.20,100.00,,iButen,02/09/2023,15:12:37.369,23312.785
A,14.80,23.63,0.23,0.24,100.00,,iButen,02/09/2023,15:12:37.681,23625.312
A,14.80,23.63,0.17,0.17,100.00,,iButen,02/09/2023,15:12:37.994,23937.842
A,14.80,23.63,0.19,0.20,100.00,,iButen,02/09/2023,15:12:38.306,24249.0403
A,14.80,23.63,0.24,0.24,100.00,,iButen,02/09/2023,15:12:38.619,24561.7142
A,14.80,23.63,0.18,0.18,100.00,,iButen,02/09/2023,15:12:38.931,24873.9702
A,14.80,23.63,0.20,0.20,100.00,,iButen,02/09/2023,15:12:39.244,25187.9707
A,14.80,23.63,0.21,0.21,100.00,,iButen,02/09/2023,15:12:39.557,25500.5458
A,14.80,23.63,0.21,0.21,100.00,,iButen,02/09/2023,15:12:39.869,25811.7411
A,14.80,23.63,0.18,0.18,100.00,,iButen,02/09/2023,15:12:40.182,26125.6066
A,14.80,23.63,0.18,0.18,100.00,,iButen,02/09/2023,15:12:40.494,26438.2132
A,14.80,23.63,0.20,0.20,100.00,,iButen,02/09/2023,15:12:40.807,26750.6717
A,14.80,23.63,0.18,0.18,100.00,,iButen,02/09/2023,15:12:41.119,27061.8325
A,14.80,23.63,0.21,0.21,100.00,,iButen,02/09/2023,15:12:41.432,27374.7696
A,14.80,23.63,0.18,0.18,100.00,,iButen,02/09/2023,15:12:41.744,27688.1998
A,14.80,23.63,0.21,0.22,100.00,,iButen,02/09/2023,15:12:42.057,27999.5634
A,14.80,23.63,0.21,0.22,100.00,,iButen,02/09/2023,15:12:42.369,28311.6487
A,14.80,23.63,0.18,0.19,100.00,,iButen,02/09/2023,15:12:42.682,28625.632
A,14.80,23.63,0.19,0.19,100.00,,iButen,02/09/2023,15:12:42.995,28938.4042
A,14.80,23.63,0.14,0.15,100.00,,iButen,02/09/2023,15:12:43.307,29250.9375
A,14.80,23.63,0.20,0.20,100.00,,iButen,02/09/2023,15:12:43.620,29562.3609
A,14.80,23.63,0.16,0.16,100.00,,iButen,02/09/2023,15:12:43.932,29876.0101
A,14.80,23.63,0.16,0.17,100.00,,iButen,02/09/2023,15:12:44.245,30188.5422
