Device,Pressure,Temperature,Volumetric Flow,Mass Flow,Set Point,Total,Gas,Date,Time,Elaps. Mill.
A,14.80,23.98,0.27,0.28,100.00,,iButen,02/09/2023,16:25:40.257,271.9211
A,14.80,23.98,0.27,0.28,100.00,,iButen,02/09/2023,16:25:40.569,584.6347
A,14.80,23.98,0.20,0.20,100.00,,iButen,02/09/2023,16:25:40.882,896.9877
A,14.80,23.98,0.21,0.22,100.00,,iButen,02/09/2023,16:25:41.194,1211.1733
A,14.80,23.98,0.26,0.27,100.00,,iButen,02/09/2023,16:25:41.507,1522.3434
A,14.80,23.98,0.23,0.23,100.00,,iButen,02/09/2023,16:25:41.819,1834.7739
A,14.80,23.98,0.22,0.23,100.00,,iButen,02/09/2023,16:25:42.132,2148.6214
A,14.80,23.98,0.25,0.26,100.00,,iButen,02/09/2023,16:25:42.445,2460.354
A,14.80,23.98,0.21,0.21,100.00,,iButen,02/09/2023,16:25:42.757,2773.8193
A,14.80,23.98,0.22,0.22,100.00,,iButen,02/09/2023,16:25:43.070,3085.0411
A,14.80,23.98,0.22,0.22,100.00,,iButen,02/09/2023,16:25:43.382,3398.8628
A,14.80,23.98,0.24,0.25,100.00,,iButen,02/09/2023,16:25:43.695,3711.4318
A,14.80,23.98,0.25,0.25,100.00,,iButen,02/09/2023,16:25:44.007,4022.6268
A,14.80,23.98,0.24,0.24,100.00,,iButen,02/09/2023,16:25:44.320,4336.4696
A,14.80,23.98,0.25,0.25,100.00,,iButen,02/09/2023,16:25:44.632,4648.6087
A,14.80,23.98,0.25,0.26,100.00,,iButen,02/09/2023,16:25:44.945,4961.1113
A,14.80,23.98,0.24,0.24,100.00,,iButen,02/09/2023,16:25:45.257,5273.8432
A,14.80,23.98,0.24,0.24,100.00,,iButen,02/09/2023,16:25:45.570,5585.0551
A,14.80,23.98,0.32,0.32,100.00,,iButen,02/09/2023,16:25:45.882,5897.528
A,14.80,23.98,0.13,0.11,100.00,,iButen,02/09/2023,16:25:46.195,6210.2998
A,14.80,23.98,-0.05,-0.05,100.00,,iButen,02/09/2023,16:25:46.508,6522.9761
A,14.80,23.98,0.17,0.17,100.00,,iButen,02/09/2023,16:25:46.820,6836.6203
A,14.80,23.98,0.21,0.21,100.00,,iButen,02/09/2023,16:25:47.148,7165.046
A,14.80,23.98,0.27,0.27,100.00,,iButen,02/09/2023,16:25:47.461,7477.4132
A,14.80,23.98,0.23,0.23,100.00,,iButen,02/09/2023,16:25:47.773,7790.3254
A,14.80,23.98,0.23,0.23,100.00,,iButen,02/09/2023,16:25:48.086,8104.0996
A,14.80,23.98,0.25,0.25,100.00,,iButen,02/09/2023,16:25:48.398,8415.0741
A,14.80,23.98,0.23,0.24,100.00,,iButen,02/09/2023,16:25:48.711,8727.5842
A,14.80,23.98,0.30,0.30,100.00,,iButen,02/09/2023,16:25:49.024,9039.0391
A,14.80,23.98,0.22,0.23,100.00,,iButen,02/09/2023,16:25:49.336,9352.3152
A,14.80,23.98,0.20,0.20,100.00,,iButen,02/09/2023,16:25:49.649,9665.4521
A,14.80,23.98,0.22,0.23,100.00,,iButen,02/09/2023,16:25:49.961,9978.0762
A,14.80,23.98,0.25,0.25,100.00,,iButen,02/09/2023,16:25:50.274,10290.5605
A,14.80,23.98,0.22,0.22,100.00,,iButen,02/09/2023,16:25:50.587,10605.7962
A,14.80,23.98,0.22,0.22,100.00,,iButen,02/09/2023,16:25:50.899,10916.9011
A,14.80,23.98,0.23,0.24,100.00,,iButen,02/09/2023,16:25:51.212,11228.392
A,14.80,23.98,0.27,0.28,100.00,,iButen,02/09/2023,16:25:51.524,11541.358
A,14.80,23.98,0.27,0.29,100.00,,iButen,02/09/2023,16:25:51.837,11853.2414
A,14.80,23.98,0.22,0.23,100.00,,iButen,02/09/2023,16:25:52.149,12165.9474
A,14.80,23.98,0.12,0.13,100.00,,iButen,02/09/2023,16:25:52.462,12477.9426
A,14.80,23.98,0.23,0.23,100.00,,iButen,02/09/2023,16:25:52.774,12791.0774
A,14.80,23.98,0.19,0.19,100.00,,iButen,02/09/2023,16:25:53.087,13104.1384
A,14.80,23.98,0.21,0.21,100.00,,iButen,02/09/2023,16:25:53.400,13414.8502
A,14.80,23.98,0.21,0.21,100.00,,iButen,02/09/2023,16:25:53.712,13728.7984
A,14.80,23.98,0.23,0.23,100.00,,iButen,02/09/2023,16:25:54.025,14040.1569
A,14.80,23.98,0.25,0.26,100.00,,iButen,02/09/2023,16:25:54.337,14353.7052
A,14.80,23.98,0.30,0.30,100.00,,iButen,02/09/2023,16:25:54.649,14665.9626
